source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,phot_g_mean_flux_over_error,radial_velocity,radial_velocity_error,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,l,b
662379992512027776,126.1642269121462,0.113110095,18.431069514179264,0.075112775,3.9277260050406015,0.14938755,26.29219,-12.052987796179513,0.13164708,5.693802515026213,0.09054599,17.980616,19.50846,16.769264,2.7391949,1.5278435,1.2113514,856.02124,,,0.95445025,0.0,0.0,205.72110701453497,28.568099558788276
662381951017179648,125.55722489187238,0.23775384,17.987167528595805,0.13995901,4.25932131150254,0.28917158,14.729391,-21.071395194146177,0.28755122,-14.43263952585003,0.16976854,18.7517,20.56569,17.471968,3.0937214,1.8139896,1.2797318,466.94464,,,1.0241798,0.8654045,3.263901,205.9485217415087,27.868552902896802
662399032104506368,125.34160482123232,0.062936045,18.1082863754559,0.040079173,5.719303106385961,0.07504035,76.21637,-52.15704055843534,0.07360335,16.96958139629208,0.04621598,16.785103,18.189829,15.626024,2.5638046,1.404726,1.1590786,1374.2224,,,0.98174095,0.0,0.0,205.7355079368648,27.722979675794654
662402261919903872,125.3550027162519,0.12149014,18.226133865220437,0.07444684,3.654922187678527,0.14575166,25.076368,-10.797676812851062,0.14077316,-23.413806215848723,0.092972524,17.73773,19.11967,16.532358,2.5873127,1.3819408,1.2053719,956.3151,,,1.0766336,0.31204727,1.409712,205.61709166928762,27.77836762832588
662406591246937472,125.28175769335365,0.021507533,18.292848755428157,0.014643197,3.520589705144371,0.024718653,142.42644,-6.819216301969874,0.025005797,-13.636729523274465,0.017073989,14.587084,15.309945,13.731817,1.5781279,0.7228613,0.8552666,3149.8516,19.664602,8.297471,1.0450408,0.0,0.0,205.51801895497232,27.738333033375312
662416138957710080,125.51777484391572,0.23610365,18.51471440069585,0.1565928,3.2435147202471124,0.27975076,11.594302,1.059564381402114,0.29449823,-12.811239870627471,0.20684925,19.050125,20.98294,17.780378,3.2025623,1.9328156,1.2697468,464.07974,,,1.0496831,0.915192,2.7223463,205.37773349421968,28.02816146980535
662423045264482816,125.8401239314945,0.19029608,18.39340007633709,0.12785314,4.671277485617077,0.20376492,22.924837,-8.254667793691441,0.2399703,-14.118978015478485,0.18149486,18.860285,18.842934,18.947498,-0.10456467,-0.01735115,-0.087213516,495.13556,,,0.98752064,0.0,0.0,205.63288547297978,28.26816271390372
662431605136494464,126.04648760997854,0.06150096,18.540250421356248,0.040511128,5.493002289514375,0.071884975,76.41377,-17.963882618523368,0.07038683,-57.178647827957434,0.046762824,16.865425,18.262444,15.717686,2.5447578,1.3970184,1.1477394,1293.6565,,,1.0291305,0.0,0.0,205.55897108940763,28.50406441187391
662432807727334912,126.01527654738261,0.020514078,18.595319093313616,0.0133530805,3.917177372566243,0.024013381,163.12477,-13.531229800903969,0.024978945,-45.6699287568026,0.016322136,14.519916,15.32457,13.644649,1.6799212,0.8046541,0.875267,4581.2466,34.488533,4.0575247,1.0074284,0.0,0.0,205.48834395810957,28.496617004147385
662435792728678912,125.6688251919837,0.3529511,18.495815356456713,0.25303325,3.098923172261721,0.38899273,7.966532,-13.890248161096045,0.45959228,-13.685832290138869,0.36148867,19.779253,21.277927,18.507854,2.770073,1.4986744,1.2713985,304.2453,,,1.0167884,1.014371,1.3658079,205.45715905956595,28.15451517611526
